6º,Linguagens Formais e Compiladores,Engenharia de Computação,NR01,3QUA,19:00,20:15,
6º,Linguagens Formais e Compiladores,Engenharia de Computação,NR01,3QUA,20:35,21:50,
6º,Eletromagnetismo,Engenharia de Computação,NR01,1SEG,19:00,20:15,
6º,Eletromagnetismo,Engenharia de Computação,NR01,1SEG,20:35,21:50,
6º,Computação Gráfica,Engenharia de Computação,NR01,5SEX,19:00,20:15,
6º,Computação Gráfica,Engenharia de Computação,NR01,5SEX,20:35,21:50,
6º,Sinais e Sistemas,Engenharia de Computação,NR01,1SEG,17:30,18:45,
6º,Sinais e Sistemas,Engenharia de Computação,NR01,3QUA,17:30,18:45,
6º,Psicologia e Comportamento,Engenharia de Computação,NR01,2TER,19:00,20:15,
7º,Pesquisa Operacional,Engenharia de Computação,NR01,4QUI,19:00,20:15,
7º,Pesquisa Operacional,Engenharia de Computação,NR01,4QUI,20:35,21:50,
7º,Banco de Dados I,Engenharia de Computação,NR01,5SEX,19:00,20:15,
7º,Banco de Dados I,Engenharia de Computação,NR01,5SEX,20:35,21:50,
7º,Paradigmas de Linguagem de Programação,Engenharia de Computação,NR01,2TER,19:00,20:15,
7º,Paradigmas de Linguagem de Programação,Engenharia de Computação,NR01,2TER,20:35,21:50,
7º,Processamento Digital de Imagens,Engenharia de Computação,NR01,3QUA,19:00,20:15,
7º,Processamento Digital de Imagens,Engenharia de Computação,NR01,3QUA,20:35,21:50,
7º,Acionamentos e Motores Elétricos,Engenharia de Computação,NR01,1SEG,17:30,18:45,
7º,Acionamentos e Motores Elétricos,Engenharia de Computação,NR01,5SEX,17:30,18:45,
7º,Arte e Cultura,Engenharia de Computação,NR01,1SEG,19:00,20:15,
8º,Redes de Computadores I,Engenharia de Computação,NR01,3QUA,19:00,20:15,
8º,Redes de Computadores I,Engenharia de Computação,NR01,3QUA,20:35,21:50,
8º,Desenvolvimento de Aplicações Web,Engenharia de Computação,NR01,1SEG,19:00,20:15,
8º,Desenvolvimento de Aplicações Web,Engenharia de Computação,NR01,1SEG,20:35,21:50,
8º,Metodologia da Pesquisa,Engenharia de Computação,NR01,6SAB,7:15,8:30,
